From Dowsett (1986),From Bowie (2003),Exclude,Order,Genus,Superspecies,Species,Group,Subspecies,Upper Guinea Highlands,Bioko,Mt. Cameroon,Cameroon Highlands,Bamenda & Adamawa,Monte Alen,Lendu,West Rift,Rwenzori,East Rift,Kabobo,Marungu,Mahale,North Somali Mtns,Djibouti,West Ethiopia,East Ethiopia,S Eth-N Ken,Imatong,Elgon,West Kenya,Kenya-Aberdare,Ngorongoro,Meru,Kilimanjaro,Taita,Pare,Usambara,Nguu,Nguru,Ukaguru,Rubeho,Uluguru,Udzungwa,Southern Highlands,Nyika,Kaningina,Dedza-Salima,Zomba,Thyolo,Mulanje,Namuli,Gorongosa,Chimanimani,N Drakensberg,S Drakensberg,Cape Fold Mountains,Central African Plateau (Zambia),Angola,Rondo Plateau,Mayombe
Yes,Yes,,1,Cyanochen,cyanoptera,cyanoptera,cyanoptera,cyanoptera,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,2,Xenoperdix,udzungwensis,udzungwensis,obscuratus,obscuratus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,Yes,,3,Xenoperdix,udzungwensis,udzungwensis,udzungwensis,udzungwensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Yes,,Exclude,4,Coturnix,coturnix,coturnix,coturnix,coturnix,,,,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,
Yes,Yes,,5,Pternistis,castaneicollis,nobilis,nobilis,nobilis,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,6,Pternistis,camerunensis,camerunensis,camerunensis,camerunensis,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,7,Pternistis,castaneicollis,castaneicollis,castaneicollis,castaneicollis,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,8,Pternistis,castaneicollis,atrifrons,atrifrons,atrifrons,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,9,Pternistis,erckelii,erckelii,erckelii,erckelii,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,10,Pternistis,castaneicollis,ochropectus,ochropectus,ochropectus,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,11,Pternistis,castaneicollis,jacksoni,jacksoni,jacksoni,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,12,Pternistis,camerunensis,swierstrai,swierstrai,swierstrai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,13,Pternistis,harwoodi,harwoodi,harwoodi,harwoodi,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,14,Scleroptila,levaillantii,levaillantii,levaillantii,kikuyuensis,,,,,,,,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
Yes,Yes,,15,Scleroptila,levaillantii,levaillantii,levaillantii,levaillantii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Yes,Yes,,16,Scleroptila,psilolaema,psilolaema,elgonensis,elgonensis,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,17,Scleroptila,psilolaema,psilolaema,psilolaema,psilolaema,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,18,Columba,albitorques,albitorques,albitorques,albitorques,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,Columba,oliviae,oliviae,oliviae,oliviae,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,20,Columba,arquatrix,arquatrix,arquatrix,arquatrix,,,,,,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,
Yes,Yes,,21,Columba,arquatrix,sjostedti,sjostedti,sjostedti,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
